Unnamed: 0,Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,SimillarHTTP,Inbound,Label
10,86.15.224.60-192.168.50.9-33022-3074-17,86.15.224.60,33022,192.168.50.9,3074,17,2019-01-12 10:25:58.000,52244.1,7,2,162.5,47.2,30.4,17.8,23.21,6.93,32.4,19.0,23.6,3.08,4013.77,172.26,5804.9,2579.56,13543.58,3225.34,31346.5,5224.41,2321.6,11609.8,1741.47,20897.7,6385.39,2837.52,12770.78,1160.98,1,0,0,0,140,40,133.98,38.28,11.6,35.4,23.41,6.96,48.5,0,1,0,1,1,0,0,0,0.29,23.3,23.21,23.6,0,0,0,0,0,0,7,162.5,2,47.2,42126,52501,6,40,15673.24,2612.21,20897.65,5224.41,10448.83,2612.21,15673.24,2612.21,0,1,UDP-lag
11,17.63.76.64-192.168.50.8-10023-69-17,17.63.76.64,10023,192.168.50.8,69,17,2019-01-12 09:14:16.000,243.8,35,16,2461.1,951.2,115.7,31.6,70.32,13.61,67.4,39.6,59.45,19.3,13938799.32,208328.33,4.78,1.81,10.21,2.97,146.3,4.3,1.63,9.56,1.43,97.5,5.26,1.99,10.52,0.96,1,0,0,0,700,320,142970.42,65357.91,29.7,105.5,64.89,21.1,445.01,0,0,0,0,1,0,0,0,0.46,66.91,70.32,59.45,0,0,0,0,0,0,35,2461.1,16,951.2,25785,33931,34,40,73.14,12.19,97.52,24.38,48.76,12.19,73.14,12.19,0,1,TFTP
12,1.181.76.51-192.168.50.5-3211-1433-17,1.181.76.51,3211,192.168.50.5,1433,17,2019-01-12 11:40:21.000,10593.0,28,3,1848.1,32.7,70.9,52.2,66.0,7.34,17.6,3.5,10.89,3.53,177534.87,2926.19,341.71,154.91,806.44,186.8,6355.8,307.54,139.42,683.42,102.51,4237.2,375.88,170.4,751.76,68.34,0,0,0,0,560,60,2643.01,283.18,5.4,99.0,38.45,19.8,392.08,0,0,1,0,1,0,0,0,0.11,60.67,66.0,10.89,0,0,0,0,0,0,28,1848.1,3,32.7,50515,32572,27,40,3177.89,529.65,4237.19,1059.3,2118.6,529.65,3177.89,529.65,0,1,DrDoS_MSSQL
13,8.242.57.9-192.168.50.7-35377-161-17,8.242.57.9,35377,192.168.50.7,161,17,2019-01-12 15:41:56.000,17393.8,5,0,541.0,0.0,153.7,71.1,108.21,40.22,51.7,13.6,47.85,3.61,31101.22,287.44,3478.76,1562.71,8166.89,1916.05,10436.3,3130.88,1406.44,6957.52,1043.63,6957.5,3826.64,1718.98,7653.27,695.75,1,0,0,0,100,0,287.44,0.0,54.1,162.3,78.03,32.46,1053.8,1,1,1,0,1,0,0,0,0.0,108.2,108.21,47.85,0,0,0,0,0,0,5,541.0,0,0.0,5810,44259,4,20,5218.14,869.69,6957.53,1739.38,3478.76,869.69,5218.14,869.69,0,1,DrDoS_SNMP
14,188.208.253.73-192.168.50.2-20347-53-17,188.208.253.73,20347,192.168.50.2,53,17,2019-01-12 15:23:45.000,7095.2,11,4,273.8,181.0,30.1,7.3,24.89,2.26,49.0,26.0,45.25,7.83,64091.08,2113.82,473.01,200.7,1075.11,272.31,4257.1,425.71,180.63,946.02,141.9,2838.1,520.31,220.77,1040.62,94.6,0,0,0,0,220,80,1550.14,563.69,12.4,67.9,35.07,7.47,55.75,0,1,1,1,1,0,0,0,0.36,30.32,24.89,45.25,0,0,0,0,0,0,11,273.8,4,181.0,15648,45013,10,40,2128.55,354.76,2838.06,709.52,1419.03,354.76,2128.55,354.76,0,1,DrDoS_DNS
15,121.148.239.116-192.168.50.4-35795-443-6,121.148.239.116,35795,192.168.50.4,443,6,2019-01-12 14:40:36.000,28983.7,7,1,831.9,50.8,152.4,80.3,118.84,37.99,91.4,22.5,50.8,3.63,30454.04,276.01,3622.96,1497.67,8115.97,2125.29,17390.2,3260.66,1347.9,7245.92,1086.89,11593.5,3985.26,1647.44,7970.51,724.59,0,0,0,0,140,20,241.51,34.5,25.4,178.3,84.82,35.65,1271.17,1,1,1,0,1,0,0,0,0.14,110.34,118.84,50.8,0,0,0,0,0,0,7,831.9,1,50.8,18186,16040,6,32,8695.1,1449.18,11593.46,2898.37,5796.73,1449.18,8695.1,1449.18,0,1,Syn
16,74.146.187.203-192.168.50.2-59311-389-17,74.146.187.203,59311,192.168.50.2,389,17,2019-01-12 10:19:33.000,799.9,2,0,214.6,0.0,131.6,66.3,107.32,21.69,72.3,10.8,41.61,11.97,267952.12,2497.22,399.94,45.65,536.89,354.29,479.9,359.95,41.09,799.88,119.98,320.0,439.93,50.22,879.87,79.99,1,0,0,0,40,0,2497.22,0.0,53.7,161.0,74.47,32.2,1036.66,0,0,1,1,1,0,0,0,0.0,107.3,107.32,41.61,0,0,0,0,0,0,2,214.6,0,0.0,63841,64274,1,40,239.97,39.99,319.96,79.99,159.98,39.99,239.97,39.99,0,1,DrDoS_LDAP
17,13.119.62.56-192.168.50.8-53440-22-17,13.119.62.56,53440,192.168.50.8,22,17,2019-01-12 14:53:26.000,4132226.3,112,12,71979.8,7775.0,976.8,250.2,642.68,115.75,671.6,458.9,647.92,130.59,19300.68,30.01,33324.41,14726.8,77504.81,18597.61,2479335.8,29991.97,13254.12,66648.82,9997.32,1652890.5,36656.85,16199.48,73313.7,6664.88,1,0,0,0,2240,240,27.1,2.9,321.3,971.9,645.3,192.8,37173.05,1,0,0,1,1,0,0,0,0.11,643.18,642.68,647.92,0,0,0,0,0,0,112,71979.8,12,7775.0,16079,49704,111,20,1239667.9,206611.32,1652890.54,413222.63,826445.27,206611.32,1239667.9,206611.32,0,1,BENIGN
18,83.150.226.60-192.168.50.6-5166-161-17,83.150.226.60,5166,192.168.50.6,161,17,2019-01-12 09:36:12.000,16301.1,35,12,2030.8,310.5,101.6,38.4,58.02,11.67,41.4,10.7,25.88,5.05,143619.7,2883.07,346.83,90.32,617.79,256.51,9780.6,312.15,81.29,693.66,104.05,6520.4,381.51,99.35,763.03,69.37,1,0,0,0,700,240,2146.97,736.1,12.9,87.0,41.95,17.41,303.01,1,0,1,0,1,0,0,0,0.34,49.81,58.02,25.88,0,0,0,0,0,0,35,2030.8,12,310.5,20822,34309,34,20,4890.32,815.05,6520.43,1630.11,3260.22,815.05,4890.32,815.05,0,1,DrDoS_SNMP
19,93.213.31.215-192.168.50.4-43043-1433-6,93.213.31.215,43043,192.168.50.4,1433,6,2019-01-12 13:27:19.000,9155.2,15,6,354.3,223.7,25.9,8.3,23.62,3.45,49.3,17.8,37.29,1.88,63126.31,2293.52,435.96,48.01,579.99,387.95,5493.1,392.36,43.21,871.92,130.79,3662.1,479.56,52.81,959.11,87.19,0,0,0,0,300,120,1638.23,655.29,11.8,55.9,30.45,7.09,50.22,0,0,0,0,0,0,0,0,0.4,27.52,23.62,37.29,0,0,0,0,0,0,15,354.3,6,223.7,20619,36022,14,20,2746.57,457.76,3662.1,915.52,1831.05,457.76,2746.57,457.76,0,1,DrDoS_MSSQL
20,74.120.140.85-192.168.50.2-27433-123-17,74.120.140.85,27433,192.168.50.2,123,17,2019-01-12 09:11:37.000,2931.8,23,10,709.1,76.1,45.9,27.5,30.83,2.5,13.5,1.4,7.61,2.04,267731.41,11252.08,88.84,52.47,246.25,36.37,1759.1,79.96,47.22,177.68,26.65,1172.7,97.72,57.72,195.45,17.77,1,0,0,0,460,200,7842.36,3409.72,3.8,46.2,19.22,9.25,85.55,0,1,0,0,1,0,0,0,0.43,23.79,30.83,7.61,0,0,0,0,0,0,23,709.1,10,76.1,28670,61029,22,20,879.54,146.59,1172.72,293.18,586.36,146.59,879.54,146.59,0,1,DrDoS_NTP
21,34.109.255.123-192.168.50.4-44045-53-17,34.109.255.123,44045,192.168.50.4,53,17,2019-01-12 11:23:39.000,21132.2,59,17,6624.9,579.2,172.8,58.3,112.29,11.71,40.7,26.2,34.07,2.11,340890.13,3596.24,278.06,48.55,423.71,229.51,12679.3,250.25,43.7,556.12,83.42,8452.9,305.87,53.41,611.73,55.61,1,0,0,0,1180,340,2791.82,804.42,17.0,168.4,73.18,33.69,1134.74,0,0,1,1,1,0,0,0,0.29,94.79,112.29,34.07,0,0,0,0,0,0,59,6624.9,17,579.2,65496,36349,58,20,6339.66,1056.61,8452.88,2113.22,4226.44,1056.61,6339.66,1056.61,0,1,UDP
22,36.30.172.154-192.168.50.1-11944-111-17,36.30.172.154,11944,192.168.50.1,111,17,2019-01-12 13:43:05.000,13945.9,11,3,867.0,65.7,114.3,64.4,78.81,22.34,30.2,6.3,21.91,1.75,66874.84,1003.8,996.14,395.61,2182.97,600.53,8367.6,896.53,356.05,1992.28,298.84,5578.4,1095.75,435.17,2191.51,199.23,1,0,0,0,220,60,788.7,215.1,11.0,118.2,50.36,23.64,559.06,0,1,1,0,0,0,0,0,0.27,66.62,78.81,21.91,0,0,0,0,0,0,11,867.0,3,65.7,10204,64659,10,40,4183.78,697.3,5578.38,1394.59,2789.19,697.3,4183.78,697.3,0,1,Portmap
23,50.33.208.252-192.168.50.2-43855-1900-17,50.33.208.252,43855,192.168.50.2,1900,17,2019-01-12 11:16:07.000,19153.9,34,7,1783.0,335.3,85.0,15.9,52.44,19.39,67.7,14.5,47.9,5.03,110587.83,2140.44,467.17,251.17,1220.68,216.0,11492.3,420.45,226.05,934.34,140.15,7661.6,513.89,276.29,1027.77,93.43,1,0,0,0,680,140,1775.0,365.44,24.0,78.7,50.17,15.73,247.5,0,1,0,0,0,0,0,0,0.21,51.67,52.44,47.9,0,0,0,0,0,0,34,1783.0,7,335.3,44635,59901,33,20,5746.17,957.7,7661.56,1915.39,3830.78,957.7,5746.17,957.7,0,1,DrDoS_SSDP
24,178.167.248.232-192.168.50.1-48970-123-17,178.167.248.232,48970,192.168.50.1,123,17,2019-01-12 13:44:14.000,5670.0,6,0,445.8,0.0,102.2,48.7,74.29,7.05,33.5,8.8,19.23,6.48,78610.09,1058.01,945.0,365.64,2041.92,579.36,3402.0,850.5,329.08,1890.0,283.5,2268.0,1039.5,402.2,2079.0,189.0,0,0,0,0,120,0,1058.01,0.0,37.1,111.4,46.76,22.29,496.77,1,1,1,1,0,0,0,0,0.0,74.3,74.29,19.23,0,0,0,0,0,0,6,445.8,0,0.0,14283,46932,5,32,1701.01,283.5,2268.01,567.0,1134.01,283.5,1701.01,283.5,0,1,DrDoS_NTP
25,196.44.157.211-192.168.50.3-49005-80-6,196.44.157.211,49005,192.168.50.3,80,6,2019-01-12 14:44:41.000,27444.8,49,4,2162.3,14.6,65.7,33.3,44.13,14.9,4.5,1.8,3.64,0.9,79316.24,1931.08,517.83,93.3,797.73,424.53,16466.9,466.05,83.97,1035.66,155.35,10977.9,569.61,102.63,1139.23,103.57,0,0,0,0,980,80,1785.33,145.74,1.8,66.2,23.89,13.24,175.27,0,1,1,1,0,0,0,0,0.08,41.07,44.13,3.64,0,0,0,0,0,0,49,2162.3,4,14.6,8701,13767,48,40,8233.45,1372.24,10977.93,2744.48,5488.97,1372.24,8233.45,1372.24,0,1,Syn
26,219.192.25.158-192.168.50.8-42323-53-17,219.192.25.158,42323,192.168.50.8,53,17,2019-01-12 13:45:09.000,15488.6,24,2,2269.6,10.1,100.6,68.6,94.57,14.42,8.7,3.5,5.07,1.49,147176.34,1678.55,595.71,235.3,1301.61,360.41,9293.1,536.14,211.77,1191.42,178.71,6195.4,655.28,258.83,1310.56,119.14,1,0,0,0,480,40,1549.43,129.12,2.5,141.9,49.82,28.37,804.87,0,1,1,1,0,0,0,0,0.08,87.68,94.57,5.07,0,0,0,0,0,0,24,2269.6,2,10.1,50419,62137,23,20,4646.57,774.43,6195.43,1548.86,3097.72,774.43,4646.57,774.43,0,1,DrDoS_DNS
27,130.83.111.60-192.168.50.4-26392-443-6,130.83.111.60,26392,192.168.50.4,443,6,2019-01-12 14:56:19.000,707305.0,372,88,300430.3,38703.9,1196.8,375.2,807.61,263.66,462.5,100.5,439.82,57.41,479473.07,650.35,1537.62,358.98,2614.56,1178.64,424383.0,1383.86,323.08,3075.24,461.29,282922.0,1691.38,394.88,3382.76,307.52,1,0,0,0,7440,1760,525.94,124.42,219.9,1211.4,623.71,242.28,58700.8,0,1,1,0,1,0,0,0,0.24,737.25,807.61,439.82,0,0,0,0,0,0,372,300430.3,88,38703.9,46274,47026,371,32,212191.51,35365.25,282922.02,70730.5,141461.01,35365.25,212191.51,35365.25,0,1,BENIGN
28,2.77.47.147-192.168.50.6-58948-443-17,2.77.47.147,58948,192.168.50.6,443,17,2019-01-12 10:53:13.000,4877046.2,558,187,355663.6,196223.0,965.0,537.4,637.39,87.35,1793.5,92.1,1049.32,290.62,113159.99,152.76,6546.37,2163.51,13036.9,4382.86,2926227.7,5891.73,1947.16,13092.74,1963.91,1950818.5,7201.01,2379.86,14402.01,1309.27,0,0,0,0,11160,3740,114.41,38.34,318.7,1574.0,843.36,191.22,36563.94,1,1,1,1,1,0,0,0,0.34,740.79,637.39,1049.32,0,0,0,0,0,0,558,355663.6,187,196223.0,56684,32474,557,32,1463113.86,243852.31,1950818.49,487704.62,975409.24,243852.31,1463113.86,243852.31,0,1,BENIGN
29,138.50.38.215-192.168.50.2-33559-137-17,138.50.38.215,33559,192.168.50.2,137,17,2019-01-12 11:09:33.000,17656.3,11,2,706.1,29.3,85.2,21.0,64.19,19.65,19.9,0.2,14.67,5.68,41648.49,736.24,1358.18,389.74,2527.4,968.44,10593.8,1222.36,350.77,2716.36,407.45,7062.5,1494.0,428.71,2988.0,271.64,0,0,0,0,220,40,622.97,113.27,7.3,96.3,39.43,19.26,370.83,1,0,1,1,0,0,0,0,0.18,56.57,64.19,14.67,0,0,0,0,0,0,11,706.1,2,29.3,6327,56956,10,20,5296.89,882.82,7062.52,1765.63,3531.26,882.82,5296.89,882.82,0,1,DrDoS_NetBIOS
30,203.168.86.2-192.168.50.6-6664-137-17,203.168.86.2,6664,192.168.50.6,137,17,2019-01-12 13:52:13.000,13186.6,35,4,1476.8,27.3,52.9,14.5,42.2,8.81,9.8,5.7,6.83,2.43,114053.9,2957.32,338.12,165.83,835.61,172.29,7912.0,304.31,149.25,676.24,101.44,5274.6,371.93,182.41,743.86,67.62,0,0,0,0,700,80,2654.0,303.31,3.4,63.3,24.51,12.66,160.24,1,1,0,1,1,0,0,0,0.11,38.57,42.2,6.83,0,0,0,0,0,0,35,1476.8,4,27.3,25575,63214,34,20,3955.99,659.33,5274.65,1318.66,2637.32,659.33,3955.99,659.33,0,1,DrDoS_NetBIOS
31,202.12.67.22-192.168.50.3-26201-111-6,202.12.67.22,26201,192.168.50.3,111,6,2019-01-12 13:57:04.000,19187.6,11,0,1268.5,0.0,177.7,49.8,115.32,31.86,13.5,9.9,11.73,1.82,66106.87,573.26,1744.33,838.01,4258.36,906.32,11512.6,1569.9,754.21,3488.66,523.3,7675.1,1918.76,921.81,3837.53,348.87,1,0,0,0,220,0,573.26,0.0,57.7,173.0,63.52,34.6,1196.89,1,0,0,0,0,0,0,0,0.0,115.32,115.32,11.73,0,0,0,0,0,0,11,1268.5,0,0.0,46606,39018,10,32,5756.29,959.38,7675.05,1918.76,3837.53,959.38,5756.29,959.38,0,1,Portmap
32,2.115.121.161-192.168.50.2-11313-123-17,2.115.121.161,11313,192.168.50.2,123,17,2019-01-12 14:23:11.000,9972.0,49,6,2316.9,58.4,54.5,15.8,47.28,11.33,10.7,6.0,9.73,3.7,238173.5,5514.9,181.31,48.16,325.79,133.15,5983.2,163.18,43.34,362.62,54.39,3988.8,199.44,52.98,398.88,36.26,0,0,0,0,980,120,4913.27,601.63,4.9,70.9,28.51,14.19,201.22,0,1,0,1,0,0,0,0,0.12,43.19,47.28,9.73,0,0,0,0,0,0,49,2316.9,6,58.4,35375,6442,48,40,2991.59,498.6,3988.79,997.2,1994.4,498.6,2991.59,498.6,0,1,UDP
33,10.70.184.129-192.168.50.7-37872-3074-17,10.70.184.129,37872,192.168.50.7,3074,17,2019-01-12 13:30:01.000,10382.3,3,0,173.0,0.0,95.8,37.3,57.65,17.72,28.6,14.1,18.2,2.08,16661.43,288.93,3460.75,2069.56,9669.43,1391.19,6229.4,3114.68,1862.6,6921.5,1038.22,4152.9,3806.83,2276.52,7613.65,692.15,0,0,0,0,60,0,288.93,0.0,28.8,86.5,37.93,17.3,299.16,0,1,0,0,0,0,0,0,0.0,57.67,57.65,18.2,0,0,0,0,0,0,3,173.0,0,0.0,39225,19711,2,32,3114.68,519.11,4152.9,1038.23,2076.45,519.11,3114.68,519.11,0,1,UDP-lag
34,181.31.101.48-192.168.50.5-22425-53-17,181.31.101.48,22425,192.168.50.5,53,17,2019-01-12 09:22:11.000,19644.6,4,1,446.4,18.7,175.4,69.3,111.6,32.56,20.2,3.2,18.73,1.44,23674.47,254.51,3928.93,2287.36,10791.01,1641.57,11786.8,3536.04,2058.62,7857.86,1178.68,7857.9,4321.82,2516.1,8643.65,785.79,0,0,0,0,80,20,203.61,50.9,9.4,167.4,65.16,33.48,1120.96,1,0,1,0,1,0,0,0,0.25,93.02,111.6,18.73,0,0,0,0,0,0,4,446.4,1,18.7,64657,43157,3,40,5893.39,982.23,7857.85,1964.46,3928.93,982.23,5893.39,982.23,0,1,DrDoS_DNS
